"symbol"	"log2fc"	"pv"	"fdr"	"dataset_id"	"dataset_annot"
"LAMC3"	0.7590899	0.0400673	0.492	"GSE781"	"renal_cell_carcinoma"
"KDELC2"	0.7585957	0.0262848	0.462	"GSE781"	"renal_cell_carcinoma"
"SNORD87///SNHG6"	0.7561285	0.0408311	0.493	"GSE781"	"renal_cell_carcinoma"
"FOXN3"	0.7542118	0.0195837	0.438	"GSE781"	"renal_cell_carcinoma"
"ANO6"	0.752527	0.0096149	0.4	"GSE781"	"renal_cell_carcinoma"
"SNORA17B///SNORA17A///SNHG7"	0.7524243	0.0197177	0.438	"GSE781"	"renal_cell_carcinoma"
"ASPH"	0.7494015	0.0457533	0.499	"GSE781"	"renal_cell_carcinoma"
"EPB41L4A-AS1"	0.7478641	0.0299068	0.472	"GSE781"	"renal_cell_carcinoma"
"KLF6"	0.7470284	0.0471207	0.503	"GSE781"	"renal_cell_carcinoma"
"OAS2"	0.746576	0.0303553	0.472	"GSE781"	"renal_cell_carcinoma"
"FAM175A"	0.7465325	0.0117241	0.416	"GSE781"	"renal_cell_carcinoma"
"NCEH1"	0.7463667	0.0370681	0.485	"GSE781"	"renal_cell_carcinoma"
"FAM118B"	0.7363877	0.0145396	0.422	"GSE781"	"renal_cell_carcinoma"
"EXOSC1"	0.7357147	0.013431	0.418	"GSE781"	"renal_cell_carcinoma"
"KCMF1"	0.7315912	0.0027857	0.322	"GSE781"	"renal_cell_carcinoma"
"TBL1XR1"	0.7285454	0.0268766	0.462	"GSE781"	"renal_cell_carcinoma"
"SLX4IP"	0.7277338	0.0181025	0.437	"GSE781"	"renal_cell_carcinoma"
"ZNF12"	0.7258181	0.0132013	0.417	"GSE781"	"renal_cell_carcinoma"
"ZRANB1"	0.7249869	0.0188863	0.438	"GSE781"	"renal_cell_carcinoma"
"GEMIN5"	0.7230457	0.0408229	0.493	"GSE781"	"renal_cell_carcinoma"
"ZCCHC7"	0.721455	0.0229817	0.448	"GSE781"	"renal_cell_carcinoma"
"NCK1"	0.7183142	0.0382722	0.488	"GSE781"	"renal_cell_carcinoma"
"CARD6"	0.7167511	0.0390445	0.489	"GSE781"	"renal_cell_carcinoma"
"UBE2V2"	0.7154463	0.0196336	0.438	"GSE781"	"renal_cell_carcinoma"
"NAV1"	0.715262	0.0100474	0.405	"GSE781"	"renal_cell_carcinoma"
"LOC101930107///LOC730268///LOC285074///ANAPC1"	0.7150602	0.0396154	0.49	"GSE781"	"renal_cell_carcinoma"
"CRACR2A"	0.7136441	0.0462113	0.5	"GSE781"	"renal_cell_carcinoma"
"FBXO4"	0.7112653	0.0211211	0.44	"GSE781"	"renal_cell_carcinoma"
"LOC286052"	0.7109044	0.0418325	0.493	"GSE781"	"renal_cell_carcinoma"
"METTL26"	0.7090229	0.0276991	0.465	"GSE781"	"renal_cell_carcinoma"
"MIR6805///RPL28"	0.7059331	0.0354026	0.481	"GSE781"	"renal_cell_carcinoma"
"WNT2B"	0.7038218	0.0461423	0.5	"GSE781"	"renal_cell_carcinoma"
"NIN"	0.7020687	0.0144797	0.422	"GSE781"	"renal_cell_carcinoma"
"ERGIC2"	0.7013705	0.0073346	0.38	"GSE781"	"renal_cell_carcinoma"
"NMD3"	0.7004205	0.0375162	0.485	"GSE781"	"renal_cell_carcinoma"
"MOB3A"	0.7000398	0.0264749	0.462	"GSE781"	"renal_cell_carcinoma"
"NREP"	0.699385	0.0128785	0.416	"GSE781"	"renal_cell_carcinoma"
"SVBP"	0.6985342	0.0447598	0.498	"GSE781"	"renal_cell_carcinoma"
"SPCS2"	0.6977237	0.02727	0.463	"GSE781"	"renal_cell_carcinoma"
"UBA5"	0.6973785	0.0112656	0.414	"GSE781"	"renal_cell_carcinoma"
"OR51B6"	0.6949589	0.0085763	0.393	"GSE781"	"renal_cell_carcinoma"
"LOC101928152"	0.6921577	0.0449125	0.498	"GSE781"	"renal_cell_carcinoma"
"HPS3"	0.6904929	0.0388019	0.489	"GSE781"	"renal_cell_carcinoma"
"C10orf54"	0.6900884	0.045637	0.499	"GSE781"	"renal_cell_carcinoma"
"PAPD4"	0.6883487	0.0139958	0.422	"GSE781"	"renal_cell_carcinoma"
"TET3"	0.6857983	0.026429	0.462	"GSE781"	"renal_cell_carcinoma"
"NCBP3"	0.6847325	0.0124387	0.416	"GSE781"	"renal_cell_carcinoma"
"CDK6"	0.6826551	0.031999	0.475	"GSE781"	"renal_cell_carcinoma"
"RPS5"	0.6813869	0.0438524	0.495	"GSE781"	"renal_cell_carcinoma"
"ZFAND2A"	0.681267	0.0132176	0.417	"GSE781"	"renal_cell_carcinoma"
"KCTD18"	0.6811744	0.0267702	0.462	"GSE781"	"renal_cell_carcinoma"
"MCTP2"	0.6810033	0.0431092	0.494	"GSE781"	"renal_cell_carcinoma"
"TLE1"	0.6806529	0.0282022	0.468	"GSE781"	"renal_cell_carcinoma"
"DNAJC1"	0.6792683	0.0497376	0.509	"GSE781"	"renal_cell_carcinoma"
"EFTUD2"	0.6782869	0.0194711	0.438	"GSE781"	"renal_cell_carcinoma"
"CPNE8"	0.6774571	0.0294127	0.469	"GSE781"	"renal_cell_carcinoma"
"METTL9"	0.673761	0.0246009	0.457	"GSE781"	"renal_cell_carcinoma"
"KMT2E"	0.6725481	0.0404786	0.493	"GSE781"	"renal_cell_carcinoma"
"VEZT"	0.6711231	0.0308014	0.475	"GSE781"	"renal_cell_carcinoma"
